stg_outlet_cd,stg_item_cd,DATE_ID,sales_qty
B,110320,2022-01-30,5.0
C,36808,2022-07-22,30.0
C,119554,2022-08-21,13.0
B,4741,2022-05-09,3.0
E,259,2022-03-13,2.0
B,3652,2022-09-12,8.0
A,119779,2022-02-20,9.0
A,13003,2022-04-13,5.0
D,120418,2022-03-05,9.0
A,119554,2022-10-18,10.0
E,36808,2022-05-02,16.0
D,42154,2022-09-02,12.172000169754028
A,117286,2022-09-28,2.0
A,110320,2022-10-06,28.0
B,43135,2022-03-20,3.0
C,117520,2022-03-21,7.0
B,117520,2022-07-13,17.0
A,952,2022-02-21,4.0
A,42685,2022-08-20,43.0
A,117736,2022-08-22,7.0
D,29653,2022-02-09,9.0
D,8800,2022-03-06,5.0
D,94948,2022-03-24,3.0
D,104470,2022-05-30,16.0
D,123307,2022-06-10,61.0
D,259,2022-07-26,13.0
D,119554,2022-08-15,33.0
C,23146,2022-09-03,6.0
C,40381,2022-06-05,12.0
C,11230,2022-07-26,1.0
B,107836,2022-05-20,8.0
B,123667,2022-06-16,3.0
B,42154,2022-08-02,24.62999987602234
D,6163,2022-03-08,10.0
D,30778,2022-03-13,6.0
D,117925,2022-04-10,29.0
D,268,2022-06-28,4.0
D,27790,2022-07-05,2.0
A,111868,2022-10-11,1.0
B,39238,2022-08-27,1.0
A,116836,2022-08-25,10.0
B,11293,2022-03-18,7.0
B,122767,2022-07-10,4.0
C,110356,2022-02-19,6.0
D,102769,2022-04-13,2.0
C,36808,2022-04-20,54.0
C,43135,2022-05-28,6.0
C,122767,2022-07-07,9.0
B,18223,2022-05-28,133.0
D,18223,2022-09-02,175.0
C,119554,2022-05-27,38.0
C,10924,2022-07-09,53.0
A,57976,2022-08-03,2.0
A,2806,2022-05-16,32.0
C,40759,2022-03-21,16.0
C,898,2022-04-05,91.0
B,116836,2022-02-01,15.0
E,24136,2022-06-18,1.0
B,102490,2022-06-26,22.384000062942505
B,11293,2022-09-25,7.0
D,538,2022-02-17,1.0
D,42847,2022-02-21,5.0
A,40939,2022-04-05,6.0
A,96136,2022-06-11,48.14799976348877
B,10366,2022-05-23,1.0
C,12355,2022-09-30,2.0
E,92491,2022-04-07,3.0
A,119779,2022-02-23,1.0
D,124414,2022-01-24,1.0
A,36808,2022-07-24,117.0
D,107863,2022-03-12,5.0
D,76399,2022-05-14,3.0
B,9979,2022-03-13,1.0
E,19114,2022-07-17,4.0
D,3679,2022-07-23,7.0
D,120400,2022-08-01,1.0
D,93913,2022-10-17,2.0
C,3679,2022-01-22,7.0
C,43405,2022-03-02,3.0
C,110320,2022-03-25,6.0
B,110230,2022-06-18,1.0
C,42685,2022-04-20,15.0
C,123307,2022-05-15,110.0
C,8800,2022-06-04,4.0
A,13795,2022-03-28,6.0
D,42685,2022-02-10,16.0
D,9925,2022-03-11,2.0
D,36808,2022-08-06,83.0
D,23020,2022-10-09,6.0
D,304,2022-10-05,3.0
C,40381,2022-09-01,11.0
C,119554,2022-05-23,15.0
C,36808,2022-05-31,77.0
C,93913,2022-07-26,1.0
A,97531,2022-03-18,1.0
A,42154,2022-04-04,35.88000041246414
D,100753,2022-02-05,9.0
D,93679,2022-04-17,4.0
C,124414,2022-01-22,3.0
C,41326,2022-01-31,1.0
C,538,2022-03-14,2.0
A,23911,2022-05-29,4.0
C,36808,2022-03-04,52.0
A,19123,2022-04-11,1.0
C,92491,2022-02-22,3.0
C,10204,2022-07-12,34.0
B,18223,2022-09-05,115.0
B,98809,2022-09-16,24.0
B,46591,2022-03-20,11.0
D,123307,2022-04-21,4.0
C,119554,2022-08-15,19.0
A,529,2022-05-26,3.0
A,123307,2022-09-27,95.0
C,10204,2022-07-30,20.0
B,18223,2022-03-30,141.0
D,18223,2022-04-26,158.0
D,91438,2022-02-15,11.0
D,36808,2022-02-22,75.0
D,117520,2022-02-24,27.0
D,781,2022-07-02,1.0
D,29653,2022-09-06,9.0
A,107863,2022-04-06,10.0
A,9925,2022-07-09,5.0
C,117610,2022-06-23,5.0
A,106054,2022-08-11,2.0
C,898,2022-01-26,144.0
