stg_item_cd,stg_item_sub_segment_desc_txt,stg_item_segment_desc_txt,stg_item_category_desc_txt,stg_item_sub_dept_desc_txt,stg_item_dept_desc_txt
1024621,Imported,Ambient Jelly,Sugar Confectionary,Confectionery,Grocery
268918,Imported,Multiple Cereal Bars,Cereal Bars,Cereals,Grocery
62980,Imported,Specialty Cooking Sauces,Ambient Cooking Sauces,Sauce,Grocery
185686,Imported,Oyster Cooking Sauces,Ambient Cooking Sauces,Sauce,Grocery
54871,Normal,Local,Tomato Based,Sauce,Grocery
605347,Cherries,Cherries,Dessert Fruits & Nuts,Desserts,Grocery
111166,Sauce/Topping,Sauce/Topping,Sauce/Topping,Desserts,Grocery
873493,Powders,Powders,Imported,Soups,Grocery
1000231,Shower Gel,Shower Gel,Body Cleansing,Hand & Body Care,Household
1000069,Shower Gel,Shower Gel,Body Cleansing,Hand & Body Care,Household
822481,Disposable Razors Pa,Disposable Razors,Razors & Blades,Men's Toiletries,Household
1103209,Liquids,Hand Wash Dish Wash,Dish Wash,Cleaning Consumables,Household
1090780,Sponges,Sponges,Sponges & Scrubbers,Cleaning Durables,Household
34621,Baby Wipes,Baby Wipes,Baby Wipes,Baby Needs,Household
34576,Torch,Torch,Illumination,General Needs,Household
905686,Normal Skin,Facial Cleansers,Facial Cleansing,Facial Care,Household
423943,Normal Skin,Facial Cleansers,Facial Cleansing,Facial Care,Household
816793,Normal Skin,Facial Cleansers,Facial Cleansing,Facial Care,Household
1063951,Adult,Mouth Wash,Mouth Wash & Breath Freshener,Oral Care,Household
1120201,Complete meals,Dog Food,Pet Food,Pet Care,Household
1010662,Complete meals,Dog Food,Pet Food,Pet Care,Household
25648,Cans,Cans,Cans,Carbonated,Beverages
1003174,Tetra,Multiple Consumption RTD Flavored M,Multiple Consumption RTD Beverages,Juices & Carbonates,Beverages
1026628,Swiss Roll,Chilled Cakes,Chilled Cakes,Desserts,Chilled
898909,Prepared Meals,Prepared Meals,Prepared Meals,Baby Foods,Grocery
113317,Flavoured,Imported,Flavoured/Cream/Fruit/Chocolate,Biscuits,Grocery
598156,Flavoured,Imported,Flavoured/Cream/Fruit/Chocolate,Biscuits,Grocery
1006099,Small Packs,Cream Biscuits,Sweet Biscuits & Cookies Regular,Biscuits,Grocery
1071115,Small Packs,Tea Biscuits,Sweet Biscuits & Cookies Regular,Biscuits,Grocery
null,Imported,Multiple Cereal Bars,Cereal Bars,Cereals,Grocery
1088701,Imported,Specialty Cooking Sauces,Ambient Cooking Sauces,Sauce,Grocery
851956,Imported,Specialty Cooking Sauces,Ambient Cooking Sauces,Sauce,Grocery
878317,Sauce/Topping,Sauce/Topping,Sauce/Topping,Desserts,Grocery
842236,Cans,Olive,Canned Fruit,Processed/Preserved Fruits,Grocery
142909,Shower Gel,Shower Gel,Body Cleansing,Hand & Body Care,Household
503836,Other Eye Cosmetics,Other Eye Cosmetics,Eye Cosmetics,Cosmetics,Household
1054096,Lipstick,Lipstick,Lip Cosmetics,Cosmetics,Household
1016233,Men's Perfumes EDT,Men's Perfumes,Men's Fragrance,Men's Toiletries,Household
406537,Hair Oil,Hair Oil & Tonic,Men's Hair Treatment,Men's Toiletries,Household
956329,Dual Purpose,Washing Detergents Powders,Washing Detergents,Laundry Care,Household
262051,Dual Purpose,Washing Detergents Powders,Washing Detergents,Laundry Care,Household
924415,Party Picks,Party Picks,Tooth Picks & BBQ Sticks,Disposable Table Ware,Household
24460,Prepared Meals,Baby Prepared Meals,Baby Ready Meals,Baby Foods,Household
917395,Skin Care Baby Gift,Skin Care Baby Gift Packs,Baby Gift Packs,Baby Needs,Household
25999,Torch,Torch,Illumination,General Needs,Household
11464,Cans,Cans,Cans,Carbonated,Beverages
846979,Cans,Cans,Cans,Carbonated,Beverages
1042405,Regular,Instant Powdered Chocolate Drinks,Instant Chocolate Drinks,Chocolate Drink,Beverages
1045492,Bottle,Single Consumption RTD Carbonates,Single Consumption RTD Beverages,RTD Beverages,Beverages
989143,Bottle,Single Consumption RTD Carbonates,Single Consumption RTD Beverages,RTD Beverages,Beverages
1110643,Box,Full Cream Powdered Milk,Powdered Milk,Milk & Creamers,Beverages
1111201,Box,Full Cream Powdered Milk,Powdered Milk,Milk & Creamers,Beverages
999565,Cheddar,Cheddar Cheese,Cheese Blocks,Cheese,Chilled
995983,Powders,Paste Powders,Pastes,Seasoning & Coconut Cream,Grocery
1090249,Small Packs,Tea Biscuits,Sweet Biscuits & Cookies Regular,Biscuits,Grocery
367099,Imported,Specialty Cooking Sauces,Ambient Cooking Sauces,Sauce,Grocery
1002076,Lipstick,Lipstick,Lip Cosmetics,Cosmetics,Household
1104901,Men's Facial All Ski,Men's Facial Cleansers,Men's Facial Care,Men's Toiletries,Household
8449,Sponges,Sponges,Sponges & Scrubbers,Cleaning Durables,Household
89908,Liquids,In Wash,Skin and Hair Care,Baby Needs,Household
